class;collection;methods;adicao;remocao;busca;acesso;edicao
org.jgrapht.util.FibonacciHeap;java.util.Set;0;0;0;0;0;0
org.jgrapht.util.FibonacciHeap;java.util.List;5;3;0;2;0;0
org.jgrapht.util.FibonacciHeap;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.CycleDetector.ProbeIterator;java.util.Set;2;1;0;1;0;0
org.jgrapht.alg.CycleDetector.ProbeIterator;java.util.List;7;1;1;5;0;0
org.jgrapht.alg.CycleDetector.ProbeIterator;java.util.Map;0;0;0;0;0;0
org.jgrapht.alg.RankingPathElementList;java.util.Set;0;0;0;0;0;0
org.jgrapht.alg.RankingPathElementList;java.util.List;8;4;2;1;1;0
org.jgrapht.alg.RankingPathElementList;java.util.Map;0;0;0;0;0;0
org.jgrapht.generate.StarGraphGenerator;java.util.Set;1;0;0;0;1;0
org.jgrapht.generate.StarGraphGenerator;java.util.List;0;0;0;0;0;0
org.jgrapht.generate.StarGraphGenerator;java.util.Map;1;1;0;0;0;0
